Order ID,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Amount,Profit,Quantity
B-25394,Office Supplies,Pens,Debit Card,10/30/2022,Tyler Park,California,San Francisco,2022-10,3686,760,20
B-25394,Office Supplies,Pens,Debit Card,1/15/2022,Richard Wolfe,Ohio,Columbus,2022-01,3686,760,20
B-26157,Office Supplies,Paper,COD,12/14/2023,Sierra Rios,Florida,Orlando,2023-12,6045,1606,4
B-26157,Office Supplies,Pens,COD,12/14/2023,Sierra Rios,Florida,Orlando,2023-12,9337,554,11
B-25555,Electronics,Phones,Credit Card,7/3/2023,Jessica Richardson,California,San Diego,2023-07,4051,1848,12
B-25555,Electronics,Phones,Credit Card,5/8/2021,Kimberly Warren,Ohio,Cincinnati,2021-05,4051,1848,12
B-25555,Furniture,Bookcases,Credit Card,7/3/2023,Jessica Richardson,California,San Diego,2023-07,5011,866,11
B-25555,Furniture,Bookcases,Credit Card,5/8/2021,Kimberly Warren,Ohio,Cincinnati,2021-05,5011,866,11
B-26139,Furniture,Sofas,EMI,10/7/2022,Casey Garcia,Florida,Orlando,2022-10,3958,630,15
B-26139,Furniture,Tables,Debit Card,10/7/2022,Casey Garcia,Florida,Orlando,2022-10,3132,963,1
B-25032,Office Supplies,Markers,UPI,8/6/2024,Denise Hampton,California,San Francisco,2024-08,7784,2937,12
B-25032,Office Supplies,Pens,COD,8/6/2024,Denise Hampton,California,San Francisco,2024-08,5591,1696,3
B-25032,Electronics,Electronic Games,COD,8/6/2024,Denise Hampton,California,San Francisco,2024-08,5122,2413,12
B-25730,Office Supplies,Binders,COD,1/5/2022,Justin Rodriguez,Ohio,Cleveland,2022-01,8293,2632,8
B-25730,Office Supplies,Binders,COD,10/17/2020,Ms. Emily Baxter,New York,Rochester,2020-10,8293,2632,8
B-25730,Office Supplies,Binders,COD,8/21/2023,Austin White,California,Los Angeles,2023-08,8293,2632,8
B-25730,Electronics,Phones,UPI,1/5/2022,Justin Rodriguez,Ohio,Cleveland,2022-01,2863,205,17
B-25730,Electronics,Phones,UPI,10/17/2020,Ms. Emily Baxter,New York,Rochester,2020-10,2863,205,17
B-25730,Electronics,Phones,UPI,8/21/2023,Austin White,California,Los Angeles,2023-08,2863,205,17
B-26470,Furniture,Tables,EMI,12/27/2024,Morgan Montes,California,San Diego,2024-12,3090,573,6
B-26470,Furniture,Tables,EMI,6/18/2021,Christine Mosley,Ohio,Cincinnati,2021-06,3090,573,6
B-26470,Furniture,Tables,EMI,5/27/2023,Ashley Rodriguez,Texas,Austin,2023-05,3090,573,6
B-26470,Furniture,Tables,EMI,10/12/2021,Elizabeth King,Texas,Dallas,2021-10,3090,573,6
B-26470,Electronics,Printers,UPI,12/27/2024,Morgan Montes,California,San Diego,2024-12,9683,1014,5
B-26470,Electronics,Printers,UPI,6/18/2021,Christine Mosley,Ohio,Cincinnati,2021-06,9683,1014,5
B-26470,Electronics,Printers,UPI,5/27/2023,Ashley Rodriguez,Texas,Austin,2023-05,9683,1014,5
B-26470,Electronics,Printers,UPI,10/12/2021,Elizabeth King,Texas,Dallas,2021-10,9683,1014,5
B-25988,Furniture,Tables,EMI,9/19/2022,Connie Holmes,Ohio,Cincinnati,2022-09,2463,648,18
B-25568,Furniture,Sofas,COD,3/25/2022,Melissa Peck,Florida,Miami,2022-03,7811,1538,12
B-26730,Furniture,Tables,Debit Card,2/26/2022,David Smith,Florida,Orlando,2022-02,6139,451,10
B-26730,Furniture,Tables,Debit Card,4/5/2021,Jacqueline Harris,Texas,Houston,2021-04,6139,451,10
B-26730,Furniture,Chairs,COD,2/26/2022,David Smith,Florida,Orlando,2022-02,8636,3192,3
B-26730,Furniture,Chairs,COD,4/5/2021,Jacqueline Harris,Texas,Houston,2021-04,8636,3192,3
B-26730,Furniture,Sofas,Credit Card,2/26/2022,David Smith,Florida,Orlando,2022-02,4439,1712,19
B-26730,Furniture,Sofas,Credit Card,4/5/2021,Jacqueline Harris,Texas,Houston,2021-04,4439,1712,19
B-25372,Furniture,Tables,Debit Card,11/16/2020,Heather Jenkins,New York,Buffalo,2020-11,1016,172,20
B-25372,Furniture,Tables,UPI,11/16/2020,Heather Jenkins,New York,Buffalo,2020-11,5768,2059,14
B-25372,Furniture,Tables,Credit Card,11/16/2020,Heather Jenkins,New York,Buffalo,2020-11,1217,151,3
B-26026,Office Supplies,Paper,Debit Card,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,953,93,2
B-26026,Office Supplies,Paper,Debit Card,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,953,93,2
B-26026,Furniture,Sofas,COD,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,7355,1034,3
B-26026,Furniture,Sofas,COD,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,7355,1034,3
B-26026,Electronics,Phones,Credit Card,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,1843,248,3
B-26026,Electronics,Phones,Credit Card,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,1843,248,3
B-26026,Office Supplies,Pens,Debit Card,12/12/2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,1603,361,10
B-26026,Office Supplies,Pens,Debit Card,4/6/2023,Katherine Harris,California,Los Angeles,2023-04,1603,361,10
B-25295,Office Supplies,Pens,Credit Card,1/28/2024,Paul Rogers,Florida,Miami,2024-01,2025,528,1
B-25295,Office Supplies,Binders,EMI,1/28/2024,Paul Rogers,Florida,Miami,2024-01,6800,167,16
B-26121,Furniture,Bookcases,UPI,1/16/2022,Jon Banks,Florida,Tampa,2022-01,1126,55,1
B-26121,Furniture,Bookcases,UPI,12/16/2022,Michelle Williams,New York,Buffalo,2022-12,1126,55,1
B-25560,Furniture,Tables,UPI,7/13/2023,Andrew Allen,California,San Diego,2023-07,7533,3508,12
B-25560,Office Supplies,Binders,Credit Card,7/13/2023,Andrew Allen,California,San Diego,2023-07,4734,1178,16
B-25560,Electronics,Electronic Games,Debit Card,7/13/2023,Andrew Allen,California,San Diego,2023-07,4074,1175,6
B-25560,Furniture,Sofas,Credit Card,7/13/2023,Andrew Allen,California,San Diego,2023-07,2334,484,3
B-26076,Electronics,Phones,Debit Card,3/10/2025,Vanessa Bauer,New York,Buffalo,2025-03,2750,1239,11
B-26076,Electronics,Phones,Debit Card,9/24/2024,Sean Smith,Ohio,Cleveland,2024-09,2750,1239,11
B-26076,Office Supplies,Pens,EMI,3/10/2025,Vanessa Bauer,New York,Buffalo,2025-03,8639,3104,19
B-26076,Office Supplies,Pens,EMI,9/24/2024,Sean Smith,Ohio,Cleveland,2024-09,8639,3104,19
B-25872,Office Supplies,Markers,UPI,4/13/2020,Shelly Sweeney,New York,New York City,2020-04,3808,1192,4
B-25872,Office Supplies,Pens,Credit Card,4/13/2020,Shelly Sweeney,New York,New York City,2020-04,2588,705,16
B-26185,Electronics,Electronic Games,Credit Card,6/27/2022,Emily Gill,Illinois,Springfield,2022-06,1591,727,5
B-26185,Electronics,Electronic Games,Credit Card,3/14/2021,Brian Patrick,Florida,Tampa,2021-03,1591,727,5
B-26185,Electronics,Electronic Games,Credit Card,2/23/2022,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,1591,727,5
B-26259,Furniture,Chairs,UPI,3/29/2022,Douglas Mcfarland,Ohio,Cleveland,2022-03,1757,622,10
B-26259,Furniture,Chairs,UPI,11/20/2022,Kayla Ross,Illinois,Peoria,2022-11,1757,622,10
B-25142,Furniture,Bookcases,Debit Card,11/12/2021,Marc Strickland,Florida,Orlando,2021-11,6940,253,15
B-25142,Electronics,Printers,UPI,11/12/2021,Marc Strickland,Florida,Orlando,2021-11,5105,465,5
B-25326,Furniture,Tables,COD,8/17/2021,Charlene Brown,Florida,Miami,2021-08,5578,277,16
B-25326,Furniture,Tables,COD,5/16/2022,Charles Smith,Ohio,Columbus,2022-05,5578,277,16
B-26795,Furniture,Chairs,Credit Card,7/16/2023,Karen Townsend,Texas,Houston,2023-07,5224,1958,16
B-26795,Office Supplies,Markers,Credit Card,7/16/2023,Karen Townsend,Texas,Houston,2023-07,5002,1801,11
B-26795,Office Supplies,Markers,COD,7/16/2023,Karen Townsend,Texas,Houston,2023-07,7380,1673,18
B-25660,Furniture,Chairs,Debit Card,8/18/2020,Steven Cox,California,Los Angeles,2020-08,7595,2873,4
B-25660,Furniture,Chairs,Debit Card,4/19/2022,Cynthia Rodriguez,New York,Rochester,2022-04,7595,2873,4
B-25410,Furniture,Sofas,Debit Card,12/23/2022,Jessica Baker,Texas,Austin,2022-12,1954,294,7
B-25690,Electronics,Printers,EMI,12/7/2024,Mark Blackburn,Texas,Dallas,2024-12,523,95,20
B-26464,Electronics,Laptops,EMI,2/3/2022,Zachary Perez,Texas,Austin,2022-02,5704,714,13
B-26464,Electronics,Laptops,EMI,12/12/2021,Brian Green,California,San Diego,2021-12,5704,714,13
B-26464,Furniture,Tables,UPI,2/3/2022,Zachary Perez,Texas,Austin,2022-02,8797,1010,8
B-26464,Furniture,Tables,UPI,12/12/2021,Brian Green,California,San Diego,2021-12,8797,1010,8
B-26464,Electronics,Laptops,Debit Card,2/3/2022,Zachary Perez,Texas,Austin,2022-02,9236,2899,5
B-26464,Electronics,Laptops,Debit Card,12/12/2021,Brian Green,California,San Diego,2021-12,9236,2899,5
B-26454,Furniture,Sofas,EMI,5/17/2020,Becky Leach,Florida,Miami,2020-05,9109,586,17
B-26742,Electronics,Phones,Credit Card,12/5/2022,Bryan Russell,Texas,Dallas,2022-12,4358,526,19
B-26742,Electronics,Phones,Credit Card,9/17/2024,Tony Maddox,California,San Francisco,2024-09,4358,526,19
B-26742,Electronics,Phones,Credit Card,12/5/2022,Bryan Russell,Texas,Dallas,2022-12,6459,825,8
B-26742,Electronics,Phones,Credit Card,9/17/2024,Tony Maddox,California,San Francisco,2024-09,6459,825,8
B-25510,Furniture,Bookcases,COD,5/8/2023,Jason Randolph,California,San Francisco,2023-05,2478,92,12
B-25510,Furniture,Bookcases,COD,3/3/2021,Laura Andrews,New York,New York City,2021-03,2478,92,12
B-25510,Furniture,Bookcases,COD,3/18/2021,Mrs. Stephanie Hooper,California,San Francisco,2021-03,2478,92,12
B-25510,Furniture,Bookcases,COD,4/24/2023,Anthony Evans,Ohio,Cleveland,2023-04,2478,92,12
B-25936,Office Supplies,Pens,Debit Card,10/9/2021,Patrick Williams,New York,Rochester,2021-10,9992,3696,20
B-25936,Office Supplies,Pens,Debit Card,4/15/2022,Susan Burke,Texas,Austin,2022-04,9992,3696,20
B-25936,Office Supplies,Pens,Debit Card,8/29/2022,Brent Hernandez,New York,Rochester,2022-08,9992,3696,20
B-25936,Office Supplies,Binders,UPI,10/9/2021,Patrick Williams,New York,Rochester,2021-10,9619,3420,7
B-25936,Office Supplies,Binders,UPI,4/15/2022,Susan Burke,Texas,Austin,2022-04,9619,3420,7
B-25936,Office Supplies,Binders,UPI,8/29/2022,Brent Hernandez,New York,Rochester,2022-08,9619,3420,7
B-25884,Electronics,Printers,Credit Card,9/4/2024,Sean Elliott,California,San Francisco,2024-09,9538,3158,20
B-25884,Electronics,Printers,Credit Card,5/18/2021,Wanda West,Ohio,Cleveland,2021-05,9538,3158,20
B-25884,Furniture,Chairs,EMI,9/4/2024,Sean Elliott,California,San Francisco,2024-09,9035,1227,14
B-25884,Furniture,Chairs,EMI,5/18/2021,Wanda West,Ohio,Cleveland,2021-05,9035,1227,14
B-26287,Office Supplies,Paper,COD,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,2684,670,2
B-26287,Furniture,Sofas,Credit Card,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,822,147,5
B-26287,Furniture,Chairs,EMI,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,9730,2341,2
B-26287,Electronics,Electronic Games,COD,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,2483,236,2
B-26564,Office Supplies,Binders,Credit Card,2/16/2024,Daryl Miles,Florida,Orlando,2024-02,1297,600,7
B-26564,Electronics,Phones,COD,2/16/2024,Daryl Miles,Florida,Orlando,2024-02,7909,1942,19
B-26293,Furniture,Tables,Credit Card,11/26/2021,Michael Hunt,Texas,Dallas,2021-11,9768,4518,8
B-26293,Furniture,Sofas,Debit Card,11/26/2021,Michael Hunt,Texas,Dallas,2021-11,4968,934,5
B-26293,Electronics,Laptops,EMI,11/26/2021,Michael Hunt,Texas,Dallas,2021-11,1731,149,4
B-25915,Office Supplies,Binders,COD,2/1/2024,Adam Clark,California,San Francisco,2024-02,3433,1169,10
B-25915,Office Supplies,Binders,COD,9/9/2021,Amy Olsen,Illinois,Springfield,2021-09,3433,1169,10
B-25915,Office Supplies,Binders,COD,9/8/2021,Stacey Miller,California,San Diego,2021-09,3433,1169,10
B-25915,Office Supplies,Binders,Debit Card,2/1/2024,Adam Clark,California,San Francisco,2024-02,3887,1490,1
B-25915,Office Supplies,Binders,Debit Card,9/9/2021,Amy Olsen,Illinois,Springfield,2021-09,3887,1490,1
B-25915,Office Supplies,Binders,Debit Card,9/8/2021,Stacey Miller,California,San Diego,2021-09,3887,1490,1
B-26496,Office Supplies,Markers,Credit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,1801,641,20
B-26496,Furniture,Tables,Debit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,5301,817,10
B-26496,Office Supplies,Paper,Debit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,1166,520,12
B-26496,Office Supplies,Paper,Debit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,3196,1411,15
B-25856,Furniture,Chairs,Credit Card,2/28/2023,Monica Gibson,Illinois,Springfield,2023-02,3428,350,1
B-25856,Office Supplies,Binders,Credit Card,2/28/2023,Monica Gibson,Illinois,Springfield,2023-02,7223,2433,12
B-25856,Office Supplies,Pens,Credit Card,2/28/2023,Monica Gibson,Illinois,Springfield,2023-02,3731,647,1
B-26899,Office Supplies,Pens,Credit Card,8/8/2022,Christopher Jordan,Ohio,Columbus,2022-08,8903,4401,18
B-25916,Electronics,Phones,UPI,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,6009,2107,7
B-25916,Electronics,Phones,UPI,4/29/2024,Claudia Curry,Texas,Austin,2024-04,6009,2107,7
B-25916,Furniture,Tables,Credit Card,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,2858,230,3
B-25916,Furniture,Tables,Credit Card,4/29/2024,Claudia Curry,Texas,Austin,2024-04,2858,230,3
B-25916,Furniture,Sofas,Credit Card,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,8175,525,7
B-25916,Furniture,Sofas,Credit Card,4/29/2024,Claudia Curry,Texas,Austin,2024-04,8175,525,7
B-25916,Furniture,Sofas,UPI,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,5846,586,18
B-25916,Furniture,Sofas,UPI,4/29/2024,Claudia Curry,Texas,Austin,2024-04,5846,586,18
B-26428,Electronics,Laptops,Credit Card,1/2/2022,Brandon Anderson,Texas,Austin,2022-01,706,197,11
B-26332,Furniture,Tables,COD,6/10/2022,George Foster,Texas,Dallas,2022-06,9835,2571,16
B-26332,Furniture,Tables,COD,11/16/2021,Nicholas Anderson,Florida,Orlando,2021-11,9835,2571,16
B-26332,Furniture,Tables,COD,8/17/2022,Emily Ellison,California,Los Angeles,2022-08,9835,2571,16
B-26332,Office Supplies,Markers,Credit Card,6/10/2022,George Foster,Texas,Dallas,2022-06,9691,3056,13
B-26332,Office Supplies,Markers,Credit Card,11/16/2021,Nicholas Anderson,Florida,Orlando,2021-11,9691,3056,13
B-26332,Office Supplies,Markers,Credit Card,8/17/2022,Emily Ellison,California,Los Angeles,2022-08,9691,3056,13
B-26332,Furniture,Bookcases,UPI,6/10/2022,George Foster,Texas,Dallas,2022-06,7826,1221,14
B-26332,Furniture,Bookcases,UPI,11/16/2021,Nicholas Anderson,Florida,Orlando,2021-11,7826,1221,14
B-26332,Furniture,Bookcases,UPI,8/17/2022,Emily Ellison,California,Los Angeles,2022-08,7826,1221,14
B-25303,Furniture,Sofas,COD,11/23/2021,Darren Perez,Texas,Austin,2021-11,770,241,11
B-25303,Furniture,Sofas,COD,3/4/2023,Michelle Hunter,Ohio,Cincinnati,2023-03,770,241,11
B-26507,Furniture,Bookcases,COD,12/16/2023,Janet Guerrero,New York,Rochester,2023-12,9895,1598,20
B-25983,Office Supplies,Paper,Debit Card,5/19/2024,Jeffrey Kline,Florida,Miami,2024-05,6517,1581,10
B-25983,Office Supplies,Paper,Debit Card,5/14/2020,Ryan Bullock,Florida,Tampa,2020-05,6517,1581,10
B-25983,Furniture,Tables,Credit Card,5/19/2024,Jeffrey Kline,Florida,Miami,2024-05,1166,349,11
B-25983,Furniture,Tables,Credit Card,5/14/2020,Ryan Bullock,Florida,Tampa,2020-05,1166,349,11
B-25156,Furniture,Chairs,Credit Card,8/29/2021,Tom Lawson,New York,Buffalo,2021-08,9820,793,16
B-26759,Office Supplies,Binders,COD,11/10/2024,Rebecca Smith,Texas,Dallas,2024-11,8563,2624,8
B-26759,Electronics,Printers,COD,11/10/2024,Rebecca Smith,Texas,Dallas,2024-11,4441,281,20
B-26244,Office Supplies,Paper,EMI,12/5/2021,William Welch,Florida,Orlando,2021-12,7340,2271,8
B-26244,Electronics,Phones,EMI,12/5/2021,William Welch,Florida,Orlando,2021-12,5442,1610,1
B-26365,Furniture,Tables,UPI,7/5/2024,Mr. Curtis Bailey,Florida,Tampa,2024-07,1895,391,14
B-26365,Office Supplies,Binders,COD,7/5/2024,Mr. Curtis Bailey,Florida,Tampa,2024-07,5323,322,13
B-26212,Office Supplies,Markers,Debit Card,6/25/2024,Janet Carlson,Florida,Miami,2024-06,8850,279,13
B-26212,Office Supplies,Paper,Debit Card,6/25/2024,Janet Carlson,Florida,Miami,2024-06,8667,1266,6
B-25042,Furniture,Tables,COD,5/31/2024,Spencer Spears,Illinois,Chicago,2024-05,6903,105,1
B-25042,Office Supplies,Pens,COD,5/31/2024,Spencer Spears,Illinois,Chicago,2024-05,8793,3010,7
B-25901,Office Supplies,Paper,UPI,10/20/2020,Jeffrey Middleton,New York,Buffalo,2020-10,9883,4812,16
B-25901,Office Supplies,Paper,UPI,8/11/2022,Veronica Kelley,Florida,Orlando,2022-08,9883,4812,16
B-25901,Office Supplies,Paper,UPI,10/17/2021,Leslie Bean,Illinois,Springfield,2021-10,9883,4812,16
B-25901,Office Supplies,Paper,UPI,10/20/2020,Jeffrey Middleton,New York,Buffalo,2020-10,5210,1185,7
B-25901,Office Supplies,Paper,UPI,8/11/2022,Veronica Kelley,Florida,Orlando,2022-08,5210,1185,7
B-25901,Office Supplies,Paper,UPI,10/17/2021,Leslie Bean,Illinois,Springfield,2021-10,5210,1185,7
B-26747,Electronics,Printers,Credit Card,2/23/2022,Amy Wilson,California,Los Angeles,2022-02,3574,851,4
B-26747,Furniture,Sofas,UPI,2/23/2022,Amy Wilson,California,Los Angeles,2022-02,576,76,13
B-26698,Electronics,Printers,EMI,9/20/2023,Susan Ramirez,Ohio,Cleveland,2023-09,1860,457,13
B-25841,Office Supplies,Pens,EMI,1/19/2021,Jacob Meyer,Illinois,Peoria,2021-01,782,374,8
B-25841,Electronics,Laptops,UPI,1/19/2021,Jacob Meyer,Illinois,Peoria,2021-01,4371,1852,1
B-26032,Electronics,Phones,COD,8/21/2020,Scott Lewis,Texas,Houston,2020-08,8346,1176,1
B-26032,Electronics,Phones,COD,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,8346,1176,1
B-26032,Electronics,Phones,COD,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,8346,1176,1
B-26032,Furniture,Tables,Debit Card,8/21/2020,Scott Lewis,Texas,Houston,2020-08,6218,1125,5
B-26032,Furniture,Tables,Debit Card,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,6218,1125,5
B-26032,Furniture,Tables,Debit Card,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,6218,1125,5
B-26032,Electronics,Printers,Credit Card,8/21/2020,Scott Lewis,Texas,Houston,2020-08,5167,253,14
B-26032,Electronics,Printers,Credit Card,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,5167,253,14
B-26032,Electronics,Printers,Credit Card,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,5167,253,14
B-26032,Furniture,Sofas,Debit Card,8/21/2020,Scott Lewis,Texas,Houston,2020-08,2799,1239,5
B-26032,Furniture,Sofas,Debit Card,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,2799,1239,5
B-26032,Furniture,Sofas,Debit Card,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,2799,1239,5
B-25171,Office Supplies,Markers,Credit Card,3/20/2022,David Figueroa,Florida,Miami,2022-03,3234,1029,20
B-26939,Furniture,Tables,Debit Card,8/12/2021,Theresa Medina,Illinois,Springfield,2021-08,4920,775,12
B-26939,Furniture,Bookcases,EMI,8/12/2021,Theresa Medina,Illinois,Springfield,2021-08,9078,2213,15
B-26347,Furniture,Bookcases,UPI,12/21/2020,Mary Smith,Florida,Miami,2020-12,8586,3826,7
B-26347,Furniture,Bookcases,UPI,7/7/2023,Lance Cain,Florida,Tampa,2023-07,8586,3826,7
B-25388,Furniture,Sofas,EMI,8/13/2023,Alexandra Moran,California,San Francisco,2023-08,5047,2211,13
B-25388,Furniture,Sofas,EMI,2/4/2021,Sara Castro,Illinois,Chicago,2021-02,5047,2211,13
B-25388,Furniture,Sofas,EMI,9/16/2022,Shawn Leach,Illinois,Peoria,2022-09,5047,2211,13
B-25388,Furniture,Sofas,EMI,5/6/2022,Mark Boyle,New York,Buffalo,2022-05,5047,2211,13
B-26419,Furniture,Sofas,UPI,5/28/2021,John Stevens,California,San Francisco,2021-05,3657,163,1
B-25157,Electronics,Electronic Games,UPI,7/18/2024,Lisa Graham,Illinois,Peoria,2024-07,6471,2842,18
B-25342,Office Supplies,Binders,UPI,12/6/2024,Nancy Jones,Ohio,Cleveland,2024-12,949,301,9
B-25342,Office Supplies,Binders,EMI,12/6/2024,Nancy Jones,Ohio,Cleveland,2024-12,6823,771,6
B-25342,Furniture,Tables,EMI,12/6/2024,Nancy Jones,Ohio,Cleveland,2024-12,4364,831,2
B-26165,Electronics,Phones,UPI,12/12/2022,Darryl Robbins,Illinois,Peoria,2022-12,6671,2797,10
B-26571,Office Supplies,Paper,COD,10/20/2022,Kimberly Smith,Illinois,Springfield,2022-10,7472,1037,3
B-26571,Electronics,Printers,COD,10/20/2022,Kimberly Smith,Illinois,Springfield,2022-10,9548,1806,9
B-25400,Electronics,Printers,UPI,3/24/2021,Maria Thomas,Florida,Miami,2021-03,7759,3741,17
B-25400,Electronics,Printers,UPI,1/6/2025,Nicholas Johnson,Texas,Dallas,2025-01,7759,3741,17
B-25400,Office Supplies,Markers,Debit Card,3/24/2021,Maria Thomas,Florida,Miami,2021-03,7521,3457,16
B-25400,Office Supplies,Markers,Debit Card,1/6/2025,Nicholas Johnson,Texas,Dallas,2025-01,7521,3457,16
B-25885,Office Supplies,Pens,COD,3/6/2021,Dawn Howard,Texas,Houston,2021-03,9704,4339,12
B-25885,Electronics,Printers,Debit Card,3/6/2021,Dawn Howard,Texas,Houston,2021-03,4948,2356,18
B-25885,Electronics,Electronic Games,Debit Card,3/6/2021,Dawn Howard,Texas,Houston,2021-03,6435,334,10
B-25004,Office Supplies,Markers,COD,6/17/2020,Jennifer Marshall,California,San Francisco,2020-06,9965,3033,16
B-25004,Office Supplies,Markers,COD,9/1/2023,Frank Garcia,New York,Buffalo,2023-09,9965,3033,16
B-26213,Furniture,Sofas,UPI,6/8/2023,Terri Madden,New York,Rochester,2023-06,1523,234,3
B-26213,Electronics,Electronic Games,Debit Card,6/8/2023,Terri Madden,New York,Rochester,2023-06,9073,424,7
B-25025,Electronics,Laptops,COD,3/25/2021,James Gutierrez,New York,Rochester,2021-03,6447,3079,20
B-25025,Electronics,Electronic Games,Credit Card,3/25/2021,James Gutierrez,New York,Rochester,2021-03,8947,2807,6
B-26804,Office Supplies,Pens,Debit Card,1/3/2021,Morgan Sellers,California,Los Angeles,2021-01,914,400,8
B-26804,Office Supplies,Paper,Credit Card,1/3/2021,Morgan Sellers,California,Los Angeles,2021-01,1548,666,3
B-26797,Furniture,Tables,Credit Card,12/27/2024,Caitlin Thomas,New York,New York City,2024-12,2759,1149,6
